company_id,company_name
426,"S & S RECOVERY, INC."
427,REVENUE ASSISTANCE CORPORATION DBA REVENUE GROUP
428,"SENTRY CREDIT, INC."
429,"NORTH SHORE AGENCY, LLC"
430,"CASTLE CREDIT CO HOLDINGS, LLC, CHICAGO, IL BRANCH"
431,"UPGRADE, INC."
432,"BALANCED HEALTHCARE RECEIVABLES, LLC"
433,"AXOS FINANCIAL, INC."
434,"FEDERAL ADJUSTMENT BUREAU, INC."
435,"FINANCIAL RECOVERY SERVICES, INC."
436,IPAC'S INC.
437,VALLEY NATIONAL BANCORP
438,"RAS LAVRAR, LLC"
439,"EVERBANK, NATIONAL ASSOCIATION"
440,"JANUARY TECHNOLOGIES, INC"
441,"CAPITAL RECOVERY SYSTEMS, INC."
442,"SCHACHTER PORTNOY, L.L.C."
443,"BIG PICTURE LOANS, LLC"
444,CHERRY CREEK MORTGAGE COMPANY INC.
445,"WELTMAN, WEINBERG & REIS CO., L.P.A."
446,AVANT CREDIT CORPORATION
447,"COLONY BRANDS, INC."
448,"AMERIFINANCE, INC."
449,"NATIONS DIRECT MORTGAGE, LLC"
450,SINGLEPOINT GI
451,"ELEVATE RECOVERIES, LLC"
452,"BANKUNITED, NATIONAL ASSOCIATION"
453,"SOUTHWEST RECOVERY SERVICES, INC."
454,BAILEY AUTOMOTIVE FINANCE INC.
455,"ENOVA INTERNATIONAL, INC."
456,HOLLOWAY CREDIT SOLUTIONS
457,"ALTISOURCE PORTFOLIO SOLUTIONS, S.À R.L."
458,"CARDINAL FINANCIAL COMPANY, LIMITED PARTNERSHIP"
459,"ORG GC GP BUYER, LLC"
460,"PROFESSIONAL BUREAU OF COLLECTIONS OF MARYLAND, INC., GREENWOOD VILLAGE, CO BRANCH"
461,"OPTIO SOLUTIONS, LLC"
462,STUDENT ASSISTANCE FOUNDATION
463,"SIMON'S AGENCY, INC."
464,"U.S. EQUITY ADVANTAGE HOLDINGS, INC."
465,"MERIDIAN FINANCIAL SERVICES, INC."
466,"SHEPHERD OUTSOURCING, LLC"
467,ACS EDUCATION SERVICES
468,"PROPERTY RECEIVABLES, CORP"
469,"RENT RECOVER, LLC"
470,"MOBILOANS, LLC"
471,CCF INTERMEDIATE HOLDINGS LLC
472,"QUALITY RECOVERY SERVICES, INC."
473,"AUTO TRAKK, LLC"
474,"LLOYD & MCDANIEL, PLC"
475,"BULL CITY FINANCIAL SOLUTIONS, INC"
476,"NATIONAL COMMERCIAL SERVICES, INC"
477,"MVBA, L.L.C."
478,"CREDIT CONSULTING SERVICES, INC."
479,OPORTUN FINANCIAL CORPORATION
480,GRANT & WEBER
481,THE PHOENIX RECOVERY GROUP
482,UNLIMITED PROGRESS CORP
483,CONSUMER ADJUSTMENT COMPANY INCORPORATED
484,"RIA ENVIA, LLC"
485,"ROSE & ASSOCIATES, LLC."
486,"RESCUE 1 FINANCIAL, LLC"
487,KBR INC DBA RASH CURTIS & ASSOCIATES
488,"WAKEFIELD & ASSOCIATES, INC."
489,"COLLECTION BUREAU OF FORT WALTON BEACH, INC"
490,PENTAGON FEDERAL CREDIT UNION
491,"TRADESTATION GROUP, INC."
492,COTTONWOOD FINANCIAL LTD.
493,"STELLAR RECOVERY, INC."
494,"DAVE OPERATING, LLC"
495,SYNERGETIC COMMUNICATION INC
496,LAW OFFICES OF LES ZIEVE
497,"OAK HARBOR CAPITAL, LLC"
498,GEORGIA STUDENT FINANCE AUTHORITY
499,"PHILLIPS & COHEN ASSOCIATES, LTD."
500,"P&B CAPITAL GROUP, LLC"
501,"THE LEVITON LAW FIRM, LTD."
502,SOURCE RECEIVABLES MANAGEMENT LLC
503,"CHARLOTTESVILLE BUREAU OF CREDITS, INC"
504,LOQBOX US INC
505,AFFILIATED MANAGEMENT SERVICES
506,FIRST COMMONWEALTH FINANCIAL CORPORATION
507,AMERICAN SOUTHWEST MORTGAGE CORP.
508,STATEBRIDGE COMPANY
509,CREDIT CORP SOLUTIONS INC.
510,"ARNOLD SCOTT HARRIS, P.C."
511,STERLING INFOSYSTEMS INC.
512,HIGH POINT ASSET INC
513,LINEBARGER GOGGAN BLAIR & SAMPSON LLP
514,NATIONAL DEBT RELIEF LLC
515,"FIRST CITIZENS BANCSHARES, INC."
516,VYSTAR CREDIT UNION
517,"FAY SERVICING, LLC"
518,CORNERSTONE HOME LENDING INC.
519,SERVICER UNDER CONTRACT WITH FEDERAL STUDENT AID
520,GREAT LAKES
521,PHH MORTGAGE SERVICES CORPORATION
522,"SECURUS J HOLDINGS, LLC"
523,USCB CORPORATION
524,"ALDRIDGE PITE HAAN, LLP"
525,"FIRST STEP GROUP, LLC"
526,ETORO USA LLC
527,KLARNA AB
528,"W&A INTERMEDIATE CO., LLC"
529,"HILLTOP HOLDINGS, INC"
530,KASHABLE LLC
531,"A.R.M. SOLUTIONS, INC."
532,ADVANCED RESOLUTION SERVICES INC.
533,CHAINLINK SERVICES LLC
534,"AMERIHOME MORTGAGE COMPANY, LLC"
535,"MEDICAL DATA SYSTEMS, INC."
536,FIRST HORIZON BANK - WEST CONGRESS STREET BRANCH
537,"RUSHMORE SERVICE CENTER, LLC"
538,YAMAHA MOTOR FINANCE CORPORATION USA
539,NAM NATIONAL ARBITRATION AND MEDIATION
540,COMMERCE BANK
541,"MID-AMERICA ACCOUNTS CONTROL BUREAU, INC."
542,"STATE FARM BANK, FSB"
543,"MAMMOTH TECH, INC."
544,"WILLIAMS, RUSH & ASSOCIATES, LLC"
545,THAXTON INVESTMENT CORPORATION
